gene_name,uniprot,hgnc_symbol,ensembl
adenosine5monophosphate,adenosine5monophosphate,adenosine5monophosphate,adenosine5monophosphate
cytidine,cytidine,cytidine,cytidine
glutamate,glutamate,glutamate,glutamate
inosine,inosine,inosine,inosine
phenylalanine,phenylalanine,phenylalanine,phenylalanine
succinate,succinate,succinate,succinate
taurine,taurine,taurine,taurine
tryptophan,tryptophan,tryptophan,tryptophan
UDPgalactose,UDPgalactose,UDPgalactose,UDPgalactose
UDPglucose,UDPglucose,UDPglucose,UDPglucose
UDPNacetylglucosamine,UDPNacetylglucosamine,UDPNacetylglucosamine,UDPNacetylglucosamine
uridine,uridine,uridine,uridine
ATP,ATP,ATP,ATP
