uniprot,protein_name,transmembrane,peripheral,secreted,secreted_desc,secreted_highlight,receptor,receptor_desc,integrin,other,other_desc,tags,tags_reason,tags_description,pfam
adenosine5monophosphate,adenosine5monophosphate,FALSE,FALSE,TRUE,,FALSE,FALSE,,FALSE,FALSE,,To_add,,,
cytidine,cytidine,FALSE,FALSE,TRUE,,FALSE,FALSE,,FALSE,FALSE,,To_add,,,
glutamate,glutamate,FALSE,FALSE,TRUE,,FALSE,FALSE,,FALSE,FALSE,,To_add,,,
inosine,inosine,FALSE,FALSE,TRUE,,FALSE,FALSE,,FALSE,FALSE,,To_add,,,
phenylalanine,phenylalanine,FALSE,FALSE,TRUE,,FALSE,FALSE,,FALSE,FALSE,,To_add,,,
succinate,succinate,FALSE,FALSE,TRUE,,FALSE,FALSE,,FALSE,FALSE,,To_add,,,
taurine,taurine,FALSE,FALSE,TRUE,,FALSE,FALSE,,FALSE,FALSE,,To_add,,,
tryptophan,tryptophan,FALSE,FALSE,TRUE,,FALSE,FALSE,,FALSE,FALSE,,To_add,,,
UDPgalactose,UDPgalactose,FALSE,FALSE,TRUE,,FALSE,FALSE,,FALSE,FALSE,,To_add,,,
UDPglucose,UDPglucose,FALSE,FALSE,TRUE,,FALSE,FALSE,,FALSE,FALSE,,To_add,,,
UDPNacetylglucosamine,UDPNacetylglucosamine,FALSE,FALSE,TRUE,,FALSE,FALSE,,FALSE,FALSE,,To_add,,,
uridine,uridine,FALSE,FALSE,TRUE,,FALSE,FALSE,,FALSE,FALSE,,To_add,,,
ATP,ATP,FALSE,FALSE,TRUE,,FALSE,FALSE,,FALSE,FALSE,,To_add,,,
